type,denom,timestamp,amount,from_address,to_address,tx_hash
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-07 04:28:09,98996375.000000000000,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,terra12zrhmraajhzm2gzvfkxh4zprr4jh8wmw4wrgg5,13F755B7FA55C08A5238AF8CCB22D051CF0CAEB2E323A8FDFFB5AC0D8727BE22
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-09 05:43:02,98996375.000000000000,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,terra12zrhmraajhzm2gzvfkxh4zprr4jh8wmw4wrgg5,740040CCDC90EE2BD906A4BF82773289FDDC66F59514A66E6A92CBB775DFC158
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-09 04:37:54,98996375.000000000000,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,terra12zrhmraajhzm2gzvfkxh4zprr4jh8wmw4wrgg5,23A4B1871E14364CD4466C8D0C07E6FEDC1EF03D828C21017AF6CE08EB8A3602
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-07 17:28:05,95998000.481900000000,terra1al546tmrj0wmwfctcqkch47h57h23mch7d8xqa,terra16t5ut0r7q8hl3gwnfefhqcesnuf6als23mdrsy,09CCB96B7E3A80530452C8296EFBF0B53CA5235DE92E3F1D1C07F86B827C9B35
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-07 17:29:50,95997982.791900000000,terra16t5ut0r7q8hl3gwnfefhqcesnuf6als23mdrsy,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,03E4669084B6826679C26B89349F141F4858147CF797D376B5FDF41DED688B61
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-07 17:37:15,95994357.791900000000,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,terra12y2clukdlya7k4jk77uxapvmssrn8dj4hfnqd0,E920A3382DD0531198F4306D3730A4CE3E33A671251D0460BB9A016BD961A26A
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-06 17:59:14,95394920.151900000000,terra1al546tmrj0wmwfctcqkch47h57h23mch7d8xqa,terra16t5ut0r7q8hl3gwnfefhqcesnuf6als23mdrsy,B4EBCE7272ECD6E92E4825C5377F634DCB108AE711E754CB589EA14C6473FC0A
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-06 18:01:26,95394902.461900000000,terra16t5ut0r7q8hl3gwnfefhqcesnuf6als23mdrsy,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,E27FACC6831BFF59407EEA8EB0DA6F895A9CB1BF4AEE8F39654C5DDBEDDE95C9
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-10 22:39:40,94999999.000000000000,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,terra14tlthgtg6ep6xnqptyg8dp3gcq4jxvgqmskwkd,E04F5842D9232327C7976505C7D8076F920ABCF98C1724FA871CA23F70BD2443
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-08 02:58:56,94706836.157148000000,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,72C4A045D58F355596A41BA7CA9A8312A7A2F803BE31F2AEA9DB8CA8AF58CB91
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-06 17:16:49,94299656.789000000000,terra1al546tmrj0wmwfctcqkch47h57h23mch7d8xqa,terra16t5ut0r7q8hl3gwnfefhqcesnuf6als23mdrsy,CBA1AB74846672F9F3ED70658B041C04732695DFA02183C27817DB63B5F7C266
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-06 17:19:17,94299639.099000000000,terra16t5ut0r7q8hl3gwnfefhqcesnuf6als23mdrsy,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,996C446C0D4EBAEA72ED053A6F49AFDD1B2A7CDDE7349A73670D883681CB6A68
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-06 17:27:20,94296014.099000000000,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,terra12y2clukdlya7k4jk77uxapvmssrn8dj4hfnqd0,944F3FDD6DE550BCFA17965C2A93206C8F54510599B4773428E7255549ED74F4
