type,timestamp,denom,amount,from_address,to_address,tx_hash
/cosmos.bank.v1beta1.MsgSend,2022-05-09 15:20:14,usd,10137953.294462000000,terra14l46jrdgdhaw4cejukx50ndp0hss95ekt2kfmw,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,9E8826EE038B4D0F1F31A55A008C7A7F2145C491FB8FE94ECB15EF870E39DF9C
/cosmos.bank.v1beta1.MsgSend,2022-05-10 00:36:45,usd,10099800.000000000000,terra1jpxch6wp4tl8kjgy3n99sxf2zugx6p5p7hf2st,terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5,4BFB7ADF7F8173C1ED8461DED700F7C95BA2CFB1F1DA9997E7C7A2D520CA907D
/cosmos.bank.v1beta1.MsgSend,2022-05-09 19:12:27,usd,10090000.000000000000,terra1aw0xgq4cu0jwnunp3sv6gx2zuxef7r2n6mgqll,terra12hrwd0wv9vxztmqdyje6usraslkxx0h3wrtj6x,B1CA05D61160691676A8198F42879528511805FD8DB9BD0200ADB7176C3205DA
/cosmos.bank.v1beta1.MsgSend,2022-05-09 16:19:00,usd,10088880.059601000000,terra1kcnqj6kmwp0azzt2tnn0cj2gfn9jhuh2hl0sr6,terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5,98F728F0711776BDB8A856CDBC8840A86DA93B9BD76338C91EA5923EE22C7A91
/cosmos.bank.v1beta1.MsgSend,2022-05-01 08:27:05,usd,10043090.000000000000,terra17p4mqd7yl9m0r7cfv0nf9s9zae3d3gm4tmyg2a,terra1xmr5j80l7446zqrn2093vl7tl37ulsdv97y69k,0720A73C8471DADE9981122E5BBC80E56D27611E0CC8291E469760A89BA14E79
/cosmos.bank.v1beta1.MsgSend,2022-05-06 11:11:33,usd,10009900.000000000000,terra1t5efpsqpknay0nh8yat50ersef0agkqk036cej,terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5,C78F728400A6742610D01308120106218EACAE969A94BC1E6B092289EF28C956
/cosmos.bank.v1beta1.MsgSend,2022-05-07 16:54:04,usd,10000009.000000000000,terra1yl8l5dzz4jhnzzh6jxq6pdezd2z4qgmgrdt82k,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,F7E19C6763D26B5C16196E40FDC4184A27C1F24DF925DB8AAD06AD71DBE1D845
/cosmos.bank.v1beta1.MsgSend,2022-05-07 17:16:38,usd,10000007.000000000000,terra1yl8l5dzz4jhnzzh6jxq6pdezd2z4qgmgrdt82k,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,D5EDE33EFA36F27004061C77319BE9B69489C1B263DC73E65A0D1ABF982FB2B0
/cosmos.bank.v1beta1.MsgSend,2022-05-08 14:19:00,usd,10000004.000000000000,terra1yxev0c7nesqd4kqhlh9r6wjc5gwnj2t4lee7tk,terra1hapgv57ytaaaatvz92k46fzwxs9m2zsdr46rph,086B05ACC8DEDB71024FDBA747A0A2DE5118F1C79F2C0F95C9FC78014B64FB04
/cosmos.bank.v1beta1.MsgSend,2022-05-08 13:40:59,usd,10000000.000000000000,terra1jucupy5asr7y345jnvcdueajjce6qjuzz60w3v,terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5,B84E6107825051828D237D331A1DF0D214E84F2F6557FC43D814BFFF81400236
/cosmos.bank.v1beta1.MsgSend,2022-05-08 15:40:51,usd,10000000.000000000000,terra1jucupy5asr7y345jnvcdueajjce6qjuzz60w3v,terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5,4806016BE69F81DC1025103E39F15B0E14F55A84D800321F53DB0B6DCA4316A9
/cosmos.bank.v1beta1.MsgSend,2022-05-08 15:34:44,usd,10000000.000000000000,terra1jucupy5asr7y345jnvcdueajjce6qjuzz60w3v,terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5,ACAAFF7549DBAE49EF61C75562A0312B416BB7663FF28A7FEF4B329C4E1F24CC
/cosmos.bank.v1beta1.MsgSend,2022-05-07 16:14:06,usd,10000000.000000000000,terra1yl8l5dzz4jhnzzh6jxq6pdezd2z4qgmgrdt82k,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,148A1064C6019338D3EEE44184E74AD57BAF53297554A87DCC62A287CA6EEA65
